text,ground_truth,bert_pred,bert_prob
"the script kicks in, and mr. hartley's distended pace and foot - dragging rhythms follow.",0,1,0.4923533499240875
you wonder why enough wasn't just a music video rather than a full - length movie.,0,1,0.49796146154403687
"this one is definitely one to skip, even for horror movie fanatics.",0,1,0.5020385384559631
"for all its impressive craftsmanship, and despite an overbearing series of third - act crescendos, lily chou - chou never really builds up a head of emotional steam.",0,1,0.47821980714797974
a string of rehashed sight gags based in insipid vulgarity.,0,1,0.5217801928520203
the movie fails to live up to the sum of its parts.,0,1,0.49845007061958313
this is a train wreck of an action film - - a stupefying attempt by the filmmakers to force - feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs.,0,1,0.5015498995780945
"green might want to hang onto that ski mask, as robbery may be the only way to pay for his next project.",0,1,0.531112790107727
it's one pussy - ass world when even killer - thrillers revolve around group therapy sessions.,0,1,0.46888720989227295
"the film flat lines when it should peak and is more missed opportunity and trifle than dark, decadent truffle.",0,1,0.4800291955471039
"you won't like roger, but you will quickly recognize him.",0,1,0.5199707746505737
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms.,0,1,0.5027907490730286
"it's difficult to imagine the process that produced such a script, but here's guessing that spray cheese and underarm noises played a crucial role.",0,1,0.49720925092697144
"on the whole, the movie lacks wit, feeling and believability to compensate for its incessant coarseness and banality.",0,1,0.5065169334411621
why make a documentary about these marginal historical figures?,0,1,0.4934830367565155
"his last movie was poetically romantic and full of indelible images, but his latest has nothing going for it.",0,1,0.49039486050605774
"combining quick - cut editing and a blaring heavy metal much of the time, beck seems to be under the illusion that he's shooting the latest system of a down video.",0,1,0.5096051096916199
what the director can't do is make either of val kilmer's two personas interesting or worth caring about.,0,1,0.5010038018226624
"too often, the viewer isn't reacting to humor so much as they are wincing back in repugnance.",0,1,0.49899622797966003
"scores no points for originality, wit, or intelligence.",0,1,0.5261949300765991
"there isn't nearly enough fun here, despite the presence of some appealing ingredients.",0,1,0.4738050699234009
this movie is maddening.,0,1,0.523958683013916
sam mendes has become valedictorian at the school for soft landings and easy ways out.,0,1,0.476041316986084
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable.,0,1,0.48681336641311646
comes... uncomfortably close to coasting in the treads of the bicycle thief.,0,1,0.5131866335868835
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,0,1,0.49394333362579346
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it.,0,1,0.5060566663742065
"in the end, we are left with something like two ships passing in the night rather than any insights into gay love, chinese society or the price one pays for being dishonest.",0,1,0.5072001218795776
suffers from the lack of a compelling or comprehensible narrative.,0,1,0.49279987812042236
"in execution, this clever idea is far less funny than the original, killers from space.",0,1,0.48857104778289795
"the tale of tok ( andy lau ), a sleek sociopath on the trail of o ( takashi sorimachi ), the most legendary of asian hitmen, is too scattershot to take hold.",0,1,0.511428952217102
it all drags on so interminably it's like watching a miserable relationship unfold in real time.,0,1,0.4956188201904297
"pumpkin means to be an outrageous dark satire on fraternity life, but its ambitions far exceed the abilities of writer adam larson broder and his co - director, tony r. abrams, in their feature debut.",0,1,0.5043811798095703
looks and feels like a project better suited for the small screen.,0,1,0.4849458634853363
"forced, familiar and thoroughly condescending.",0,1,0.5150541067123413
it's not the ultimate depression - era gangster movie.,0,1,0.49476343393325806
sacrifices the value of its wealth of archival foot - age with its less - than - objective stance.,0,1,0.5052365660667419
the character of zigzag is not sufficiently developed to support a film constructed around him.,0,1,0.5066894292831421
"while ( hill ) has learned new tricks, the tricks alone are not enough to salvage this lifeless boxing film.",0,1,0.4933105707168579
the best that can be said about the work here of scottish director ritchie... is that he obviously doesn't have his heart in it.,0,1,0.4930548667907715
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and didn't reserve enough for his second.,0,1,0.5069451332092285
feels too formulaic and too familiar to produce the transgressive thrills of early underground work.,0,1,0.5131081938743591
the heavy - handed film is almost laughable as a consequence.,0,1,0.48689180612564087
a nightmare date with a half - formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes.,0,1,0.5123066306114197
it takes talent to make a lifeless movie about the most heinous man who ever lived.,0,1,0.4876933693885803
"by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie.",0,1,0.4984892010688782
"uncommonly stylish but equally silly... the picture fails to generate much suspense, nor does it ask searching enough questions to justify its pretensions.",0,1,0.5015107989311218
not exactly the bees knees,0,1,0.4968796372413635
"there seems to be no clear path as to where the story's going, or how long it's going to take to get there.",0,1,0.5031203627586365
"slapstick buffoonery can tickle many a preschooler's fancy, but when it costs a family of four about $ 40 to see a film in theaters, why spend money on a dog like this when you can rent a pedigree instead?",0,1,0.49033331871032715
may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen.,0,1,0.5096666812896729
"characters still need to function according to some set of believable and comprehensible impulses, no matter how many drugs they do or how much artistic license avary employs.",0,1,0.5086587071418762
the end result is a film that's neither.,0,1,0.4913412928581238
rarely has leukemia looked so shimmering and benign.,0,1,0.4685059189796448
"determined to be fun, and bouncy, with energetic musicals, the humor didn't quite engage this adult.",0,1,0.5314940810203552
"delivers the same old same old, tarted up with latin flava and turned out by hollywood playas.",0,1,0.4905189573764801
"doesn't offer much besides glib soullessness, raunchy language and a series of brutal set pieces... that raise the bar on stylized screen violence.",0,1,0.5094810724258423
it made me want to wrench my eyes out of my head and toss them at the screen.,0,1,0.48609504103660583
"unfortunately, it's not silly fun unless you enjoy really bad movies.",0,1,0.5139049887657166
it's a bad thing when a movie has about as much substance as its end credits blooper reel.,0,1,0.5047392845153809
"i sympathize with the plight of these families, but the movie doesn't do a very good job conveying the issue at hand.",0,1,0.49526071548461914
"the lower your expectations, the more you'll enjoy it.",0,1,0.5068709254264832
"though perry and hurley make inspiring efforts to breathe life into the disjointed, haphazard script by jay scherick and david ronn, neither the actors nor director reginald hudlin can make it more than fitfully entertaining.",0,1,0.49312907457351685
"a misogynistic piece of filth that attempts to pass itself off as hip, young adult entertainment.",0,1,0.5055950880050659
"its story may be a thousand years old, but why did it have to seem like it took another thousand to tell it to us?",0,1,0.4944049119949341
"try as i may, i can't think of a single good reason to see this movie, even though everyone in my group extemporaneously shouted, ` thank you! '",0,1,0.501025378704071
"for starters, the story is just too slim.",0,1,0.49897465109825134
"at the very least, if you don't know anything about derrida when you walk into the theater, you won't know much more when you leave.",0,1,0.5113067030906677
"there ought to be a directing license, so that ed burns can have his revoked.",0,1,0.4886932969093323
bad.,0,1,0.537451982498169
"and the lesson, in the end, is nothing new.",0,1,0.46254804730415344
"this is not the undisputed worst boxing movie ever, but it's certainly not a champion - the big loser is the audience.",0,1,0.5023027658462524
to say this was done better in wilder's some like it hot is like saying the sun rises in the east.,0,1,0.49769723415374756
"the entire movie is about a boring, sad man being boring and sad.",0,1,0.49020588397979736
"this time mr. burns is trying something in the martin scorsese street - realist mode, but his self - regarding sentimentality trips him up again.",0,1,0.5097941160202026
"perceptive in its vision of nascent industrialized world politics as a new art form, but far too clunky, didactic and saddled with scenes that seem simply an ill fit for this movie.",0,1,0.5182310342788696
"once ( kim ) begins to overplay the shock tactics and bait - and - tackle metaphors, you may decide it's too high a price to pay for a shimmering picture postcard.",0,1,0.48176896572113037
"all that's missing is the spontaneity, originality and delight.",0,1,0.49738624691963196
my reaction in a word : disappointment.,0,1,0.5026137828826904
"of course, by more objective measurements it's still quite bad.",0,1,0.4931986629962921
this movie seems to have been written using mad - libs.,0,1,0.5068013072013855
"it's not that kung pow isn't funny some of the time - - it just isn't any funnier than bad martial arts movies are all by themselves, without all oedekerk's impish augmentation.",0,1,0.5037122368812561
i'd have to say the star and director are the big problems here.,0,1,0.4962877929210663
a by - the - numbers effort that won't do much to enhance the franchise.,0,1,0.4977504014968872
"an occasionally funny, but overall limp, fish - out - of - water story.",0,1,0.5022495985031128
it appears that something has been lost in the translation to the screen.,0,1,0.5145041346549988
it all feels like a monty python sketch gone horribly wrong.,0,1,0.4854958951473236
"stealing harvard is evidence that the farrelly bros. - - peter and bobby - - and their brand of screen comedy are wheezing to an end, along with green's half - hearted movie career.",0,1,0.5122095942497253
the film tries too hard to be funny and tries too hard to be hip.,0,1,0.48779037594795227
"if you believe any of this, i can make you a real deal on leftover enron stock that will double in value a week from friday.",0,1,0.4883001446723938
attempts by this ensemble film to impart a message are so heavy - handed that they instead pummel the audience.,0,1,0.5116998553276062
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise.,0,1,0.49617600440979004
rarely has so much money delivered so little entertainment.,0,1,0.50382399559021
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.,0,1,0.5117098093032837
` ` the time machine'' is a movie that has no interest in itself.,0,1,0.4882901906967163
"/ but daphne, you're too buff / fred thinks he's tough / and velma - wow, you've lost weight!",0,1,0.5036396980285645
"it's like every bad idea that's ever gone into an after - school special compiled in one place, minus those daytime programs'slickness and sophistication ( and who knew they even had any? ).",0,1,0.49636027216911316
"it can't decide if it wants to be a mystery / thriller, a romance or a comedy.",0,1,0.5350885391235352
"paid in full is so stale, in fact, that its most vibrant scene is one that uses clips from brian de palma's scarface.",0,1,0.46491146087646484
"it's played in the most straight - faced fashion, with little humor to lighten things up.",0,1,0.515515148639679
a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going.,0,1,0.48448485136032104
"with virtually no interesting elements for an audience to focus on, chelsea walls is a triple - espresso endurance challenge.",0,1,0.515980064868927
it's like watching a nightmare made flesh.,0,1,0.484019935131073
"it's hard to like a film about a guy who is utterly unlikeable, and shiner, starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune, is certainly that.",0,1,0.48392462730407715
basically a static series of semi - improvised ( and semi - coherent ) raps between the stars.,0,1,0.5160753726959229
chokes on its own depiction of upper - crust decorum.,0,1,0.516079306602478
directed in a paint - by - numbers manner.,0,1,0.4839206635951996
k - 19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension.,0,1,0.5058839321136475
"even with a green mohawk and a sheet of fire - red flame tattoos covering his shoulder, however, kilmer seems to be posing, rather than acting.",0,1,0.49411603808403015
the story and the friendship proceeds in such a way that you're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships.,0,1,0.5344692468643188
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks.,0,1,0.46553075313568115
serving sara doesn't serve up a whole lot of laughs.,0,1,0.4893597662448883
"the x potion gives the quickly named blossom, bubbles and buttercup supernatural powers that include extraordinary strength and laser - beam eyes, which unfortunately don't enable them to discern flimsy screenplays.",0,1,0.5106402039527893
what was once original has been co - opted so frequently that it now seems pedestrian.,0,1,0.49441882967948914
i'll bet the video game is a lot more fun than the film.,0,1,0.5055811405181885
"complete lack of originality, cleverness or even visible effort",0,1,0.5010982155799866
hit and miss as far as the comedy goes and a big ole'miss in the way of story.,0,1,0.4989018142223358
too much of it feels unfocused and underdeveloped.,0,1,0.49750974774360657
but it could have been worse.,0,1,0.5024902820587158
that's pure pr hype.,0,1,0.4867696166038513
an unwise amalgam of broadcast news and vibes.,0,1,0.5132303833961487
"utterly lacking in charm, wit and invention, roberto benigni's pinocchio is an astonishingly bad film.",0,1,0.49132323265075684
and that leaves a hole in the center of the salton sea.,0,1,0.5086767673492432
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss, there isn't a redeeming moment here.",0,1,0.49092069268226624
... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause.,0,1,0.5090793371200562
"it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,1,0.5064812302589417
"the most hopelessly monotonous film of the year, noteworthy only for the gimmick of being filmed as a single unbroken 87 - minute take.",0,1,0.49351879954338074
"in an effort, i suspect, not to offend by appearing either too serious or too lighthearted, it offends by just being wishy - washy.",0,1,0.48617109656333923
no way i can believe this load of junk.,0,1,0.5138289332389832
"not only unfunny, but downright repellent.",0,1,0.47196224331855774
"works hard to establish rounded characters, but then has nothing fresh or particularly interesting to say about them.",0,1,0.5280377268791199
just one bad idea after another.,0,1,0.5020068883895874
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock.,0,1,0.4979930818080902
"his comedy premises are often hackneyed or just plain crude, calculated to provoke shocked laughter, without following up on a deeper level.",0,1,0.5010994076728821
there is no pleasure in watching a child suffer.,0,1,0.49890056252479553
"jason x is positively anti - darwinian : nine sequels and 400 years later, the teens are none the wiser and jason still kills on auto - pilot.",0,1,0.5209020972251892
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time.,0,1,0.4790979325771332
"a very long movie, dull in stretches, with entirely too much focus on meal preparation and igloo construction.",0,1,0.5011911392211914
it's a grab bag of genres that don't add up to a whole lot of sense.,0,1,0.498808890581131
"instead of hiding pinocchio from critics, miramax should have hidden it from everyone.",0,1,0.5018271207809448
"portentous and pretentious, the weight of water is appropriately titled, given the heavy - handedness of it drama.",0,1,0.4981728792190552
"the humor is forced and heavy - handed, and occasionally simply unpleasant.",0,1,0.5311039090156555
"partway through watching this saccharine, easter - egg - colored concoction, you realize that it is made up of three episodes of a rejected tv show.",0,1,0.4688960909843445
not since freddy got fingered has a major release been so painful to sit through.,0,1,0.5194399952888489
"the movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",0,1,0.4805600047111511
to call the other side of heaven ` ` appalling'' would be to underestimate just how dangerous entertainments like it can be.,0,1,0.4963155686855316
nothing is sacred in this gut - buster.,0,1,0.5036844611167908
"feels haphazard, as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot.",0,1,0.5004867315292358
tries to add some spice to its quirky sentiments but the taste is all too familiar.,0,1,0.4995132386684418
"at its worst, it implodes in a series of very bad special effects.",0,1,0.5063262581825256
a great ensemble cast can't lift this heartfelt enterprise out of the familiar.,0,1,0.49367374181747437
"at times, the suspense is palpable, but by the end there's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential.",0,1,0.4855208992958069
"while the resident evil games may have set new standards for thrills, suspense, and gore for video games, the movie really only succeeds in the third of these.",0,1,0.5144791007041931
when leguizamo finally plugged an irritating character late in the movie.,0,1,0.502901554107666
"mattei is tiresomely grave and long - winded, as if circularity itself indicated profundity.",0,1,0.497098445892334
... plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche - riddled but self - serious spy thriller.,0,1,0.5008864998817444
"an overemphatic, would - be wacky, ultimately tedious sex farce.",0,1,0.4991135001182556
another in - your - face wallow in the lower depths made by people who have never sung those blues.,0,1,0.5023423433303833
"if director michael dowse only superficially understands his characters, he doesn't hold them in contempt.",0,1,0.4976576864719391
"however it may please those who love movies that blare with pop songs, young science fiction fans will stomp away in disgust.",0,1,0.45752352476119995
as vulgar as it is banal.,0,1,0.5424764752388
"outer - space buffs might love this film, but others will find its pleasures intermittent.",0,1,0.4726198613643646
more whiny downer than corruscating commentary.,0,1,0.527380108833313
"there are simply too many ideas floating around - - part farce, part sliding doors, part pop video - - and yet failing to exploit them.",0,1,0.49579790234565735
"it's another stale, kill - by - numbers flick, complete with blade - thin characters and terrible, pun - laden dialogue.",0,1,0.5042020678520203
"i don't mind having my heartstrings pulled, but don't treat me like a fool.",0,1,0.509590744972229
the movie's accumulated force still feels like an ugly knot tightening in your stomach.,0,1,0.490409255027771
at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,0,1,0.4772668182849884
i'm just too bored to care.,0,1,0.522733211517334
"one of the more irritating cartoons you will see this, or any, year.",0,1,0.4935128390789032
i am sorry that i was unable to get the full brunt of the comedy.,0,1,0.5064871311187744
"the film's hackneyed message is not helped by the thin characterizations, nonexistent plot and pretentious visual style.",0,1,0.47795912623405457
should have been someone else -,0,1,0.5220409035682678
coughs and sputters on its own postmodern conceit.,0,1,0.5147233009338379
almost gags on its own gore.,0,1,0.4852766692638397
"trite, banal, cliched, mostly inoffensive.",0,1,0.5094499588012695
"there is very little dread or apprehension, and though i like the creepy ideas, they are not executed with anything more than perfunctory skill.",0,1,0.4905500113964081
the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy.,0,1,0.48444825410842896
"the last 20 minutes are somewhat redeeming, but most of the movie is the same teenage american road - trip drek we've seen before - only this time you have to read the fart jokes",0,1,0.515551745891571
"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood, windtalkers is nothing but a sticky - sweet soap.",0,1,0.523490309715271
oh come on.,0,1,0.476509690284729
"it's clear the filmmakers weren't sure where they wanted their story to go, and even more clear that they lack the skills to get us to this undetermined destination.",0,1,0.5260230898857117
"even on those rare occasions when the narrator stops yammering, miller's hand often feels unsure.",0,1,0.47397691011428833
"sticky sweet sentimentality, clumsy plotting and a rosily myopic view of life in the wwii - era mississippi delta undermine this adaptation.",0,1,0.5217209458351135
it's too bad that the helping hand he uses to stir his ingredients is also a heavy one.,0,1,0.4782790243625641
"yes, dull.",0,1,0.48160260915756226
"some of their jokes work, but most fail miserably and in the end, pumpkin is far more offensive than it is funny.",0,1,0.5183973908424377
"shaky close - ups of turkey - on - rolls, stubbly chins, liver spots, red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere.",0,1,0.5180199146270752
so unremittingly awful that labeling it a dog probably constitutes cruelty to canines.,0,1,0.4819801151752472
"adults will wish the movie were less simplistic, obvious, clumsily plotted and shallowly characterized.",0,1,0.4806632995605469
the problem with this film is that it lacks focus.,0,1,0.5193367004394531
involves two mysteries - - one it gives away and the other featuring such badly drawn characters that its outcome hardly matters.,0,1,0.5005402565002441
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ).,0,1,0.49945971369743347
a by - the - numbers patient / doctor pic that covers all the usual ground,0,1,0.47746512293815613
the script isn't very good ; not even someone as gifted as hoffman ( the actor ) can make it work.,0,1,0.5225348472595215
"( e ) ventually, every idea in this film is flushed down the latrine of heroism.",0,1,0.49522438645362854
"it's dumb, but more importantly, it's just not scary.",0,1,0.5047755837440491
detox is ultimately a pointless endeavor.,0,1,0.5363736152648926
"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum, not even ms. redgrave's noblest efforts can redeem it from hopeless sentimentality.",0,1,0.46362635493278503
this is so bad.,0,1,0.5055403709411621
"it showcases carvey's talent for voices, but not nearly enough and not without taxing every drop of one's patience to get to the good stuff.",0,1,0.4944596290588379
the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts.,0,1,0.5089238286018372
a sequel that's much too big for its britches.,0,1,0.49107614159584045
"deadeningly dull, mired in convoluted melodrama, nonsensical jargon and stiff - upper - lip laboriousness.",0,1,0.5059472918510437
"dragonfly has no atmosphere, no tension - - nothing but costner, flailing away.",0,1,0.4940527081489563
villeneuve spends too much time wallowing in bibi's generic angst ( there are a lot of shots of her gazing out windows ).,0,1,0.483822226524353
"care deftly captures the wonder and menace of growing up, but he never really embraces the joy of fuhrman's destructive escapism or the grace - in - rebellion found by his characters.",0,1,0.516177773475647
"if looking for a thrilling sci - fi cinematic ride, don't settle for this imposter.",0,1,0.484108030796051
plays like a volatile and overlong w magazine fashion spread.,0,1,0.515891969203949
moretti's compelling anatomy of grief and the difficult process of adapting to loss.,0,1,0.5050883293151855
"comes off like a rejected abc afterschool special, freshened up by the dunce of a screenwriting 101 class.",0,1,0.49491167068481445
"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death.",0,1,0.5251753330230713
it's a bit disappointing that it only manages to be decent instead of dead brilliant.,0,1,0.4748246967792511
it has all the excitement of eating oatmeal.,0,1,0.49682289361953735
"for close to two hours the audience is forced to endure three terminally depressed, mostly inarticulate, hyper dysfunctional families for the price of one.",0,1,0.5031771063804626
"( t ) here's only so much anyone can do with a florid, overplotted, anne rice rock'n'roll vampire novel before the built - in silliness of the whole affair defeats them.",0,1,0.5065892338752747
"a disappointment for those who love alternate versions of the bard, particularly ones that involve deep fryers and hamburgers.",0,1,0.49341079592704773
"it's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",0,1,0.4995254576206207
do not see this film.,0,1,0.5004745721817017
there's no emotional pulse to solaris.,0,1,0.517170786857605
"for each chuckle there are at least 10 complete misses, many coming from the amazingly lifelike tara reid, whose acting skills are comparable to a cardboard cutout.",0,1,0.482829213142395
"although huppert's intensity and focus has a raw exhilaration about it, the piano teacher is anything but fun.",0,1,0.4833696782588959
"from the opening scenes, it's clear that all about the benjamins is a totally formulaic movie.",0,1,0.5166303515434265
"the film is based on truth and yet there is something about it that feels incomplete, as if the real story starts just around the corner.",0,1,0.5181015729904175
"i've always dreamed of attending cannes, but after seeing this film, it's not that big a deal.",0,1,0.4818984568119049
a coarse and stupid gross - out.,0,1,0.5032066106796265
... nothing scary here except for some awful acting and lame special effects.,0,1,0.49679338932037354
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay.,0,1,0.5134269595146179
here's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep.,0,1,0.4865730404853821
it treats women like idiots.,0,1,0.4991489350795746
"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes, playing a college football fight song on untuned instruments.",0,1,0.500851035118103
but it's too long and too convoluted and it ends in a muddle.,0,1,0.4832003116607666
"if the first men in black was money, the second is small change.",0,1,0.5167996883392334
don't be fooled by the impressive cast list - eye see you is pure junk.,0,1,0.46269166469573975
scorsese doesn't give us a character worth giving a damn about.,0,1,0.5373083353042603
the plot convolutions ultimately add up to nothing more than jerking the audience's chain.,0,1,0.4957652986049652
does little more than play an innocuous game of fill - in - the - blanks with a tragic past.,0,1,0.5042346715927124
"it does nothing new with the old story, except to show fisticuffs in this sort of stop - go slow motion that makes the gang rumbles look like they're being streamed over a 28k modem.",0,1,0.47836440801620483
"passable entertainment, but it's the kind of motion picture that won't make much of a splash when it's released, and will not be remembered long afterwards.",0,1,0.5216355919837952
the film's tone and pacing are off almost from the get - go.,0,1,0.502821683883667
"a broad, melodramatic estrogen opera that's pretty toxic in its own right.",0,1,0.4971782863140106
"( director ) o'fallon manages to put some lovely pictures up on the big screen, but his skill at telling a story - - he also contributed to the screenplay - - falls short.",0,1,0.4943217933177948
"offers very little genuine romance and even fewer laughs... a sad sitcom of a movie, largely devoid of charm.",0,1,0.5056781768798828
just not campy enough,0,1,0.5019885897636414
"every dance becomes about seduction, where backstabbing and betrayals are celebrated, and sex is currency.",0,1,0.49801144003868103
"it takes a certain kind of horror movie to qualify as ` worse than expected,'but ghost ship somehow manages to do exactly that.",0,1,0.5074543356895447
"it can not be enjoyed, even on the level that one enjoys a bad slasher flick, primarily because it is dull.",0,1,0.4925456643104553
"despite all evidence to the contrary, this clunker has somehow managed to pose as an actual feature movie, the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults.",0,1,0.5012856721878052
it's just filler.,0,1,0.4987143576145172
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason - dixon line.,0,1,0.49382835626602173
"one of those pictures whose promising, if rather precious, premise is undercut by amateurish execution.",0,1,0.5061716437339783
"the humor isn't as sharp, the effects not as innovative, nor the story as imaginative as in the original.",0,1,0.5264830589294434
director uwe boll and the actors provide scant reason to care in this crude'70s throwback.,0,1,0.47351697087287903
"this movie is something of an impostor itself, stretching and padding its material in a blur of dead ends and distracting camera work.",0,1,0.4855087995529175
i got a headache watching this meaningless downer.,0,1,0.5144912004470825
zaidan's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight.,0,1,0.4960387647151947
"all the amped - up tony hawk - style stunts and thrashing rap - metal can't disguise the fact that, really, we've been here, done that.",0,1,0.5039612650871277
"the director knows how to apply textural gloss, but his portrait of sex - as - war is strictly sitcom.",0,1,0.5328177809715271
"visually rather stunning, but ultimately a handsome - looking bore, the true creativity would have been to hide treasure planet entirely and completely reimagine it.",0,1,0.4671822488307953
"nonsensical, dull ` ` cyber - horror'' flick is a grim, hollow exercise in flat scares and bad acting.",0,1,0.530258297920227
big fat waste of time.,0,1,0.46974170207977295
"professionally speaking, it's tempting to jump ship in january to avoid ridiculous schlock like this shoddy suspense thriller.",0,1,0.49677765369415283
fancy a real downer?,0,1,0.5032223463058472
vera's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them.,0,1,0.5085843205451965
makes for a pretty unpleasant viewing experience.,0,1,0.49141567945480347
like you couldn't smell this turkey rotting from miles away.,0,1,0.4810611307621002
davis... is so enamored of her own creation that she can't see how insufferable the character is.,0,1,0.5189388394355774
